worker,elapsed
6,15.805300
3,16.263473
9,16.024945
7,15.825342
8,15.202250
5,16.071194
4,15.958337
2,15.832496
6,16.416035
3,16.279556
9,15.908340
7,16.225109
8,16.155894
5,16.220599
4,16.514184
2,16.632684
6,15.978797
3,16.785426
9,15.692492
7,16.413745
8,15.523037
5,16.673292
4,16.747668
2,17.065772
6,16.980385
9,16.436624
3,16.779963
7,16.538006
8,16.098063
5,15.988145
4,15.766239
2,15.909883
6,15.695132
3,15.751538
9,15.992531
7,15.878890
8,15.608911
5,15.852096
4,15.424492
2,16.042175
6,15.425814
3,15.953485
9,16.294334
7,15.892972
8,16.212050
5,17.858357
4,18.186356
2,19.150244
6,19.320269
3,19.386342
9,19.956296
7,19.330465
8,19.264722
5,18.117375
4,18.915998
2,18.441889
6,18.584619
3,19.074468
9,18.634607
7,18.751298
8,17.707824
5,17.618924
4,17.226128
2,17.527123
6,16.419627
3,16.866677
9,16.708633
7,16.527659
8,16.997267
5,17.348200
4,17.227939
2,17.680456
6,16.682373
3,16.522028
9,16.582063
7,16.315829
8,17.135988
5,16.319632
4,16.180425
2,17.306061
6,16.706650
3,16.818429
7,16.187499
9,16.890468
8,16.514843
5,17.155336
4,16.885209
6,16.257798
2,16.480040
7,15.925174
3,16.542446
9,16.164647
8,16.178729
5,16.285743
4,16.627789
6,16.218189
2,16.787719
7,15.993615
3,16.069093
9,16.531664
8,16.594558
5,16.536177
4,16.537593
6,16.258369
2,16.908358
3,15.780845
7,16.381082
9,15.800726
8,15.854671
5,16.235630
4,17.045209
6,15.548241
2,16.184620
7,15.497869
3,16.306794
9,15.916731
8,15.961588
5,16.161943
4,16.035407
6,15.845459
7,14.727902
2,16.093438
3,15.883619
9,15.601179
8,15.883130
5,16.079435
4,15.968505
6,15.479792
7,14.777568
2,15.916552
9,15.380293
3,16.034829
8,15.740226
5,16.124580
4,16.427028
6,15.825532
7,15.537609
2,15.757711
9,16.051790
3,15.784655
8,15.949274
5,15.991292
4,15.827400
6,15.586404
7,15.654804
2,16.122780
9,15.767983
3,15.439774
8,15.894885
5,15.778068
4,15.701450
6,15.638945
7,15.947483
2,15.858267
9,16.181574
3,16.310007
8,15.394005
5,15.966188
4,16.317455
6,16.755638
7,16.680893
2,16.415063
9,16.478390
3,16.527801
8,15.743463
5,15.796019
4,16.346683
6,15.773587
7,16.113802
2,16.162700
9,16.337153
3,16.226897
8,15.864965
5,15.734238
4,16.772844
6,15.964544
7,16.654347
2,16.149313
9,16.361910
3,16.474535
8,16.075487
5,16.034979
4,15.673364
6,15.576541
7,15.170223
2,14.890529
9,14.421292
3,14.577009
5,12.557191
4,11.515682
6,11.427016
2,10.459593
3,9.975960
5,8.932482
4,8.175088
3,7.306111
