frame number,elapsed,worker
102,12.09044872,2
103,12.92878852,2
104,13.93900821,2
105,14.02968556,2
106,14.50033063,2
107,14.5212139,2
108,15.18626709,2
109,16.75889414,2
110,16.04775196,2
111,15.85914501,2
112,15.66988289,2
113,16.57483556,2
114,17.0314643,2
115,16.65584452,2
116,15.07477813,2
117,14.70411212,2
118,15.22626273,2
119,17.49581338,2
120,15.51557712,2
121,14.98615297,2
122,16.52174805,2
123,15.74638065,2
124,18.16479992,2
125,16.78891565,2
126,18.17979301,2
127,16.88109323,2
128,16.37654458,2
129,15.90349676,2
130,16.0561153,2
131,16.78625703,2
132,17.73490705,2
133,15.33314759,2
134,15.3251082,2
135,14.79722333,2
136,15.10631899,2
137,17.2548432,2
138,15.81333653,2
139,15.02761827,2
140,16.28011715,2
141,18.55190493,2
142,16.15725952,2
143,17.49241806,2
144,17.44381486,2
145,17.4736218,2
146,19.40435386,2
147,21.51204548,2
148,18.72091077,2
149,15.72164707,2
150,15.90861819,2
151,19.43003012,2
152,21.46359609,2
153,18.88803102,2
154,15.43307408,2
155,15.66687472,2
156,15.88284827,2
157,15.54385171,2
158,15.96349367,2
159,16.17423081,2
160,16.21236155,2
161,16.27672234,2
162,15.63976497,2
163,15.61454707,2
164,15.79657991,2
165,15.8324962,2
166,16.63268366,2
167,17.06577179,2
168,15.90988281,2
169,16.0421753,2
170,19.15024416,2
171,18.44188933,2
172,17.52712296,2
173,17.68045574,2
174,17.30606061,2
175,16.48003977,2
176,16.78771895,2
177,16.90835756,2
178,16.18462041,2
179,16.09343824,2
180,15.91655205,2
181,15.75771127,2
182,16.12277969,2
183,15.85826685,2
184,16.4150629,2
185,16.16269958,2
186,16.14931265,2
187,14.89052898,2
188,10.45959342,2
189,12.2808164,3
190,12.64087572,3
191,13.50273814,3
192,15.40943162,3
193,15.61613069,3
194,15.50944729,3
195,14.95319192,3
196,15.45394039,3
197,15.5493708,3
198,16.87890645,3
199,14.92828673,3
200,16.00063821,3
201,15.78506119,3
202,17.59220995,3
203,15.35833245,3
204,15.11616865,3
205,14.98847178,3
206,16.79009746,3
207,16.75858175,3
208,15.53622733,3
209,15.23617784,3
210,16.37879263,3
211,17.87277349,3
212,17.48714129,3
213,17.08719693,3
214,19.17453807,3
215,16.09732063,3
216,17.17848292,3
217,16.54996959,3
218,17.04536093,3
219,18.80377068,3
220,16.35251704,3
221,15.68842294,3
222,15.69892208,3
223,15.09279932,3
224,17.06810494,3
225,16.71381203,3
226,15.66964143,3
227,16.63778112,3
228,17.62734081,3
229,16.60969119,3
230,18.25342056,3
231,17.29754951,3
232,18.36659704,3
233,19.89590967,3
234,21.2842715,3
235,19.43938166,3
236,16.13027804,3
237,15.62099592,3
238,20.67397115,3
239,21.19155925,3
240,17.92106896,3
241,15.44734336,3
242,15.64482793,3
243,16.09576171,3
244,16.32173274,3
245,15.93654031,3
246,16.71392316,3
247,16.11901907,3
248,15.49926705,3
249,15.97051282,3
250,15.87662638,3
251,16.2634733,3
252,16.2795555,3
253,16.78542565,3
254,16.77996279,3
255,15.75153776,3
256,15.95348488,3
257,19.38634213,3
258,19.07446767,3
259,16.86667663,3
260,16.52202758,3
261,16.81842934,3
262,16.54244622,3
263,16.06909283,3
264,15.78084475,3
265,16.30679427,3
266,15.88361871,3
267,16.03482922,3
268,15.78465496,3
269,15.43977364,3
270,16.31000681,3
271,16.52780071,3
272,16.22689708,3
273,16.47453477,3
274,14.57700897,3
275,9.975959993,3
277,11.77745687,3
278,12.50169067,4
279,13.46429806,4
280,14.49525561,4
281,14.68952049,4
282,14.86071721,4
283,15.03172465,4
284,15.52599306,4
285,15.78474075,4
286,16.71360812,4
287,15.02022248,4
288,15.66844479,4
289,15.62092562,4
290,17.39424761,4
291,15.24044769,4
292,14.73044884,4
293,14.16926043,4
294,15.01457738,4
295,16.91706537,4
296,15.30474454,4
297,15.00729382,4
298,16.71060277,4
299,16.69360746,4
300,19.1173573,4
301,16.36776914,4
302,19.52188671,4
303,15.8321355,4
304,17.27133477,4
305,16.10782697,4
306,16.37726894,4
307,17.10278479,4
308,17.08577186,4
309,15.47836338,4
310,15.98720812,4
311,15.70658121,4
312,16.04687738,4
313,17.51840433,4
314,15.3899264,4
315,16.07137474,4
316,17.33558615,4
317,16.83572471,4
318,16.68103811,4
319,17.79411847,4
320,17.07957623,4
321,19.17638853,4
322,21.49554031,4
323,21.59395576,4
324,16.81302554,4
325,16.01750082,4
326,19.15970192,4
327,20.91345815,4
328,20.14058474,4
329,16.29557713,4
330,16.11315557,4
331,15.67583482,4
332,15.88711271,4
333,15.93867927,4
334,16.25213748,4
335,16.08079904,4
336,16.10074089,4
337,16.05733754,4
338,16.16579372,4
339,15.80176695,4
340,15.95833739,4
341,16.51418375,4
342,16.74766773,4
343,15.76623934,4
344,15.42449212,4
345,18.18635583,4
346,18.91599771,4
347,17.22612771,4
348,17.22793907,4
349,16.18042504,4
350,16.88520912,4
351,16.62778896,4
352,16.53759346,4
353,17.04520892,4
354,16.03540744,4
355,15.96850454,4
356,16.42702773,4
357,15.82740011,4
358,15.70145032,4
359,16.3174546,4
360,16.3466827,4
361,16.77284437,4
362,15.67336385,4
363,11.51568212,4
364,8.17508804,4
365,12.04124521,4
366,12.52247623,5
367,13.49964939,5
368,14.78251448,5
369,14.99938178,5
370,14.93054824,5
371,14.92666684,5
372,16.12152191,5
373,16.02845006,5
374,16.02641392,5
375,14.64870149,5
376,16.00495064,5
377,16.16294994,5
378,17.96436767,5
379,15.03385727,5
380,14.59551079,5
381,14.59284783,5
382,15.69164858,5
383,17.15005005,5
384,15.6612397,5
385,15.07901313,5
386,16.07623564,5
387,17.97954463,5
388,17.7909848,5
389,16.60214484,5
390,18.98686454,5
391,15.24168554,5
392,16.78777055,5
393,16.02299049,5
394,16.50761733,5
395,16.90117202,5
396,17.53506768,5
397,16.0794195,5
398,15.38877418,5
399,15.51775964,5
400,16.13934652,5
401,17.61388085,5
402,16.14046859,5
403,16.48994048,5
404,18.28673173,5
405,16.72220779,5
406,17.34335696,5
407,17.19239195,5
408,17.51681677,5
409,19.74410501,5
410,22.1408004,5
411,20.93513094,5
412,16.27949407,5
413,15.68044104,5
414,19.53265797,5
415,20.72477704,5
416,18.44350624,5
417,15.90967327,5
418,16.09397493,5
419,15.69258561,5
420,15.92096678,5
421,15.41727452,5
422,15.80777347,5
423,15.78610292,5
424,15.87106059,5
425,15.15588863,5
426,15.34862176,5
427,14.62901126,5
428,16.07119448,5
429,16.22059874,5
430,16.67329234,5
431,15.98814507,5
432,15.85209602,5
433,17.8583567,5
434,18.1173753,5
435,17.61892391,5
436,17.34820019,5
437,16.31963152,5
438,17.15533573,5
439,16.2857426,5
440,16.53617733,5
441,16.23563016,5
442,16.16194311,5
443,16.07943517,5
444,16.12457997,5
445,15.99129153,5
446,15.77806776,5
447,15.96618824,5
448,15.79601939,5
449,15.73423801,5
450,16.03497905,5
451,12.55719071,5
452,8.932481646,5
453,13.70495228,5
454,12.9332219,6
455,14.09676913,6
456,15.55214293,6
457,14.92349084,6
458,14.97821833,6
459,15.73834565,6
460,16.37865182,6
461,15.82808892,6
462,16.29986139,6
463,15.13456173,6
464,16.59547758,6
465,16.27786248,6
466,17.25726858,6
467,15.19832726,6
468,14.72351125,6
469,14.99027171,6
470,17.0524533,6
471,15.21152941,6
